iter	MultiClass
0	1.33829667
1	1.286477227
2	1.243749223
3	1.202902256
4	1.164931612
5	1.132978328
6	1.105449569
7	1.079496013
8	1.054625338
9	1.030268114
10	1.007732645
11	0.9882276281
12	0.9680832029
113	0.9553697791
14	0.9383491076
15	0.923389477
16	0.909718458
17	0.8948993006
18	0.8836624795
19	0.8718335139
20	0.8615127705
21	0.849215529
22	0.8415332014
23	0.8346661316
24	0.8274760837
25	0.818195121
26	0.8093489438
27	0.8021179873
28	0.7936855189
29	0.7885080335
30	0.7809315546
31	0.7747094473
32	0.7682806885
33	0.7623922603
34	0.757401645
35	0.7509631823
36	0.7470270414
37	0.7422055166
38	0.7382651317
39	0.7342027984
40	0.7292329811
41	0.7255529401
42	0.7229349097
43	0.7175019295
44	0.7133688717
45	0.7092734469
46	0.7049725843
47	0.7012555647
48	0.6982033487
49	0.6947778189
50	0.6913826392
51	0.6874851314
52	0.684460143
53	0.6811477948
54	0.6787724359
55	0.6756842277
56	0.6737273408
57	0.6704861121
58	0.6678167211
59	0.6654001899
60	0.6627508257
61	0.6606619908
62	0.6581504584
63	0.655799087
64	0.6537713415
65	0.6516842072
66	0.6497659349
67	0.6481866401
68	0.646975904
69	0.644885999
70	0.6427060367
71	0.6400170336
72	0.6377686943
73	0.6357613395
74	0.6337565733
75	0.6319586486
76	0.6301582177
77	0.6287476783
78	0.6267946606
79	0.6250602325
80	0.6233337432
81	0.6222158484
82	0.6206546144
83	0.6189859279
84	0.6175233557
85	0.6163839056
86	0.6145621642
87	0.6132544084
88	0.611795961
89	0.6102580849
90	0.6088078704
91	0.6075296162
92	0.6060676664
93	0.6043095869
94	0.6033389244
95	0.6021938266
96	0.6010758796
97	0.5995251978
98	0.5980658197
99	0.5966933119
100	0.5951460643
101	0.5937632756
102	0.5926855672
103	0.5924257254
104	0.5906507714
105	0.5895806556
106	0.5884141332
107	0.5871330158
108	0.5857268199
109	0.5847524817
110	0.5836267152
111	0.5821828969
112	0.5811480806
113	0.5803032762
114	0.5791239494
115	0.577842833
116	0.5766592643
117	0.5756101241
118	0.5745510103
119	0.5732274971
120	0.5721733145
121	0.5713155591
