iter	Passed	Remaining
0	1	825
1	4	1037
2	6	1089
3	7	955
4	9	898
5	9	808
6	12	877
7	13	834
8	14	814
9	16	798
10	17	711	11	18	712	12	19	713	22	770
14	23	756
15	24	750
16	25	726
17	26	713
18	27	704
19	29	701
20	31	708
21	32	699
22	32	683
23	34	676
24	35	679
25	36	667
26	37	654
27	38	652
28	39	642
29	41	647
30	42	645
31	43	635
32	44	630
33	45	620
34	45	610
35	46	600
36	47	589
37	47	580
38	48	575
39	49	567
40	50	559
41	51	558
42	52	554
43	53	553
44	54	548
45	55	543
46	55	536
47	56	531
48	57	524
49	57	518
50	58	511
51	59	509
52	59	504
53	60	501
54	61	496
55	61	491
56	62	489
57	63	484
58	64	481
59	65	479
60	66	480
61	67	476
62	68	473
63	69	470
64	69	467
65	71	468
66	71	464
67	72	459
68	73	458
69	74	454
70	74	452
71	75	450
72	76	448
73	77	444
74	77	441
75	78	438
76	79	437
77	80	434
78	80	431
79	81	428
80	82	425
81	83	424
82	83	421
83	84	419
84	85	416
85	85	413
86	86	412
87	87	409
88	88	406
89	88	404
90	89	402
91	90	399
92	90	396
93	92	398
94	93	398
95	94	396
96	94	394
97	95	392
98	96	389
99	96	387
100	97	385
101	98	383
102	98	381
103	99	378
104	99	376
105	100	374
106	101	372
107	102	370
108	102	368
109	103	366
110	104	364
111	104	362
112	105	360
113	106	359
114	106	356
115	107	355
116	108	355
117	109	353
118	109	351
119	110	350
120	111	348
121	111	346
122	112	345
123	113	343
124	113	341
125	114	340
126	115	338
127	116	337
128	116	336
129	117	334
130	1131	118131	1132	118132	1133	121	330
134	122	330
135	122	328
136	123	327
137	124	325
138	124	324
139	125	323
140	126	322
141	127	320
142	127	319
143	128	317
144	129	316
145	129	314
146	130	313
147	131147	1148	132	312
149	133149	1150	135	312
151	135	310
152	136	309
153	137	308
154	137	307
155	139	308
156	141	308
157	142	307
158	142	306
159	143	305
160	145	305
161	146	305
162	147	305
163	149	305
164	149	304
165	150	303
166	151	301
167	152	300
168	152	299
169	153	297
170	154	296
171	155	296
172	156	295
173	157	294
174	158	293
175	158	292
176	159	290
177	160	289
178	161	288
179	161	287
180	163	287
181	163	286
182	164	285
183	166	285
184	167	285
185	168	284
186	169	283
187	170	283
188	171	281
189	171	280
190	173	280
191	173	278
192	174	277
193	175	276
194	177	277
